word,count,band
219a,4,f1
birkel,4,f1
friesacher,4,f1
schlagermove,4,f1
guha,3,f1
jaris,3,f1
kylian,3,f1
lanzendörfer,3,f1
methling,3,f1
mitbezahlen,3,f1
seddig,3,f1
umgeweht,3,f1
akrap,2,f1
berührungs-ängste,2,f1
gretas,2,f1
kapernaum-kirche,2,f1
nichtin,2,f1
oststeinbek,2,f1
schwangerschafts-abbrüchen,2,f1
spaceship,2,f1
.,3493,oov
:,669,oov
?,370,oov
",",338,oov
•,150,oov
"""",117,oov
2,76,oov
!,44,oov
3,37,oov
1.,36,oov
fach·leute,22,oov
nord·bank,19,oov
bürger·meister,17,oov
4,16,oov
nord·deutschland,16,oov
feier·tag,13,oov
geld·transporter,13,oov
polizei·schule,13,oov
segel·schiff,13,oov
7,12,oov
bundes·garten·schau,12,oov
kreuz·fahrt·schiff,12,oov
park·haus,12,oov
2018,11,oov
30,11,oov
5,11,oov
31.,10,oov
arbeit·geber,10,oov
blau·algen,10,oov
chodzinski,10,oov
100,9,oov
2019,8,oov
ehe·paar,8,oov
kampf·hund,8,oov
start·bahn,8,oov
wind·kraft·anlage,8,oov
1,7,oov
10,7,oov
50,7,oov
auto·firmen,7,oov
bau·arbeiten,7,oov
kranken·haus,7,oov
wohn·haus,7,oov
2.,6,oov
25,6,oov
6.,6,oov
auto·fahrt,6,oov
kurz·arbeit,6,oov
stadt·teil,6,oov
12,5,oov
12.,5,oov
16,5,oov
19,5,oov
20,5,oov
bundes·ländern,5,oov
fußball·spiel,5,oov
haupt·stadt,5,oov
kommunal·wahl,5,oov
presse·konferenz,5,oov
regierungs·erklärung,5,oov
sozial·behörde,5,oov
/,4,oov
1995,4,oov
24,4,oov
26.,4,oov
37,4,oov
5.,4,oov
90,4,oov
bundes·wehr,4,oov
elektro·industrie,4,oov
finanz·minister,4,oov
gefrier·schrank,4,oov
hierse,4,oov
musafiri,4,oov
schiffs·taufe,4,oov
wetter·dienst,4,oov
windkraft·anlage,4,oov
winter·garten,4,oov
wohn·mobil,4,oov
wähler·gruppe,4,oov
(,3,oov
),3,oov
15,3,oov
18,3,oov
1918,3,oov
1919,3,oov
2015,3,oov
21,3,oov
24.,3,oov
48,3,oov
6,3,oov
60,3,oov
8,3,oov
[,3,oov
],3,oov
bahn·höfen,3,oov
bürger·schaft,3,oov
fahr·zeiten,3,oov
feuerwehr·leute,3,oov
feuerwehr·mann,3,oov
flüchtlingeviele,3,oov
gold·schmuck,3,oov
hamburgin,3,oov
hirving,3,oov
kampf·hunde,3,oov
last·wagen,3,oov
relegations·spiel,3,oov
schad·stoffe,3,oov
segel·regatten,3,oov
sozial·demokratische,3,oov
spd.spd,3,oov
sujoy,3,oov
wahl·benachrichtigung,3,oov
wind·rad,3,oov
zug·strecken,3,oov
zurück·bezahlen,3,oov
